Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Phosphatidylinositol signaling system,11/98,0.8743395423479947,0.9999956867632058,0,0,0.7285903429528865,0.0978398371664318,IPPK;INPP5B;INPP5F;IMPA1;INPP1;SACM1L;DGKQ;INPP5E;PIP4K2B;MTMR7;PIK3C2B
KEGG_2019_Mouse,Bladder cancer,4/41,0.8744186998294942,0.9999956867632058,0,0,0.6233256985799359,0.0836477883008984,CCND1;CDK4;TRP53;ERBB2
KEGG_2019_Mouse,TGF-beta signaling pathway,10/91,0.881689680155485,0.9999956867632058,0,0,0.7114281400966184,0.08957956065806,ACVR1;LEFTY1;RBL1;TFDP1;HAMP2;SMAD9;INHBA;INHBC;HAMP;NODAL
KEGG_2019_Mouse,Ubiquitin mediated proteolysis,16/138,0.8827533642651475,0.9999956867632058,0,0,0.7554598310437568,0.0942129672306365,DET1;UBE2C;UBE2D1;UBE4A;XIAP;WWP1;KLHL13;RHOBTB2;CDC20;KLHL9;NEDD4;UBA3;NHLRC1;TRIM37;SKP2;TRIM32
KEGG_2019_Mouse,Thyroid hormone signaling pathway,13/115,0.8845107457092543,0.9999956867632058,0,0,0.7342840570434226,0.0901117922016985,HDAC2;THRB;HDAC3;STAT1;DIO1;DIO2;ATP1A3;SLC16A10;ESR1;CCND1;TRP53;RCAN2;RXRG
KEGG_2019_Mouse,Oocyte meiosis,13/116,0.8914696362630824,0.9999956867632058,0,0,0.7271121704195456,0.0835334829035672,PLK1;REC8;AURKA;CDC20;CCNB1;ADCY9;CCNE2;ESPL1;CDK2;CDK1;FBXO5;BUB1;MAD2L1
KEGG_2019_Mouse,Carbohydrate digestion and absorption,4/43,0.8968309238952642,0.9999956867632058,0,0,0.59129074315515,0.0643844222893916,MGAM;SLC2A2;ATP1A3;TAS1R3
KEGG_2019_Mouse,alpha-Linolenic acid metabolism,2/25,0.9020263526394504,0.9999956867632058,0,0,0.5014433839990574,0.0517046013319701,FADS2;ACOX3
KEGG_2019_Mouse,Hematopoietic cell lineage,10/94,0.9040194374083436,0.9999956867632058,0,0,0.6858986801242236,0.0692102066195421,CD1D2;CR2;CD59B;CSF1;MME;IL7;KIT;CD7;CD36;EPOR
KEGG_2019_Mouse,Cardiac muscle contraction,8/78,0.9061613371973894,0.9999956867632058,0,0,0.6585588206769469,0.0648930113926914,CACNG6;COX8B;TNNC1;MYL2;MYL3;ATP1A3;COX7A1;MYH7
KEGG_2019_Mouse,mRNA surveillance pathway,10/96,0.916855734478509,0.9999956867632058,0,0,0.6698685540950455,0.0581480352694997,UPF1;PPP2R2C;CLP1;NCBP2;WDR82;CSTF2;PABPC4L;CSTF2T;ALYREF2;GSPT2
KEGG_2019_Mouse,Complement and coagulation cascades,9/88,0.9180176519343004,0.9999956867632058,0,0,0.6563495304205799,0.05614325923186,CFD;C3;CR2;CD59B;PLAU;F11;F13B;SERPINA5;MBL2
KEGG_2019_Mouse,Mitophagy,6/63,0.919222211578134,0.9999956867632058,0,0,0.6066200099978576,0.0510940193799124,MRAS;CSNK2A1;TRP53;NBR1;TFEB;MFN2
