Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Mouse,Ether lipid metabolism,4/47,0.3322198072731412,0.5557504183396375,0,0,1.409886074757556,1.55363588635833,PLA2G2D;ENPP6;PLA2G7;PLPP1
KEGG_2019_Mouse,Neurotrophin signaling pathway,9/121,0.3349339615021764,0.5568533961171155,0,0,1.2183580139372825,1.3326666733403931,NFKBIA;MAP3K3;JUN;FASL;ARHGDIB;PRKCD;MAPKAPK2;IRAK3;NGF
KEGG_2019_Mouse,Toxoplasmosis,8/108,0.3535965426215358,0.5842967259172939,0,0,1.2127376116978066,1.2607604759968831,NFKBIA;SOCS1;TGFB1;TGFB3;LAMC3;PIK3R5;BCL2L1;BIRC3
KEGG_2019_Mouse,Arginine and proline metabolism,4/50,0.3752447466760452,0.6163110687830803,0,0,1.3177257525083612,1.2916042220414148,GOT1;SMOX;NOS3;SAT1
KEGG_2019_Mouse,AMPK signaling pathway,9/126,0.379306387392062,0.6192291023087277,0,0,1.165978736710444,1.130312602035002,PFKFB2;LIPE;G6PC;PFKFB3;IRS2;PPP2R2A;PCK1;PFKP;IGF1R
KEGG_2019_Mouse,Proximal tubule bicarbonate reclamation,2/22,0.3993656618246689,0.648072421284343,0,0,1.5150363783346807,1.3906183125531035,FXYD2;PCK1
KEGG_2019_Mouse,RNA degradation,6/83,0.4096905286872765,0.6608698409181663,0,0,1.1807754289506114,1.053668747117126,CNOT4;BTG3;BTG2;BTG1;PABPC1L;PFKP
KEGG_2019_Mouse,Autophagy,9/130,0.4151095499858098,0.6656490416932217,0,0,1.1271920983672647,0.9910417409144032,VMP1;CTSL;PRKCD;DDIT4;EIF2AK3;IRS2;RAB7B;IGF1R;BCL2L1
KEGG_2019_Mouse,Type I diabetes mellitus,5/69,0.4263752820484566,0.6796923613831279,0,0,1.1837140397082655,1.00903972339147,IL1A;FASL;CD80;IL1B;CD28
KEGG_2019_Mouse,Vitamin B6 metabolism,1/9,0.4376810685677954,0.693634909835512,0,0,1.8934773828756053,1.5645136879532169,PSAT1
